Date,AAPL,IBM,MSFT,GOOG
2010-01-04,6.57,91.51,23.99,312.2
2010-01-05,6.58,90.4,24.0,310.83
2010-01-06,6.48,89.81,23.86,302.99
2010-01-07,6.47,89.5,23.61,295.94
2010-01-08,6.51,90.4,23.77,299.89
2010-01-11,6.45,89.45,23.47,299.43
2010-01-12,6.38,90.17,23.31,294.14
2010-01-13,6.47,89.97,23.53,292.45
2010-01-14,6.43,91.41,24.0,293.82
2010-01-15,6.32,91.04,23.92,288.92
2010-01-19,6.6,92.67,24.11,292.71
2010-01-20,6.5,89.99,23.72,289.12
2010-01-21,6.39,89.12,23.27,290.4
2010-01-22,6.07,86.7,22.45,273.98
2010-01-25,6.24,87.13,22.73,268.99
2010-01-26,6.32,86.88,22.87,270.2
2010-01-27,6.38,87.28,23.0,270.04
2010-01-28,6.12,85.5,22.61,266.15
2010-01-29,5.9,84.56,21.85,263.98
2010-02-01,5.98,86.13,22.03,265.51
2010-02-02,6.02,86.73,22.06,264.57
2010-02-03,6.12,86.82,22.2,269.4
2010-02-04,5.9,84.98,21.58,262.41
2010-02-05,6.0,85.34,21.72,264.65
2010-02-08,5.96,84.58,21.49,265.74
2010-02-09,6.03,85.5,21.72,267.22
2010-02-10,5.99,85.23,21.7,266.23
2010-02-11,6.1,85.86,21.8,267.2
2010-02-12,6.15,86.05,21.65,265.56
2010-02-16,6.25,86.91,22.08,269.64
2010-02-17,6.22,87.67,22.27,268.1
2010-02-18,6.23,88.7,22.56,270.6
2010-02-19,6.19,88.27,22.41,269.37
2010-02-22,6.16,88.03,22.38,270.39
2010-02-23,6.05,87.76,22.07,266.54
2010-02-24,6.16,88.54,22.3,264.74
2010-02-25,6.2,88.18,22.28,262.23
2010-02-26,6.28,88.24,22.33,262.42
2010-03-01,6.42,89.22,22.6,265.35
2010-03-02,6.41,88.42,22.17,269.52
2010-03-03,6.43,88.05,22.17,271.64
2010-03-04,6.47,87.94,22.3,276.26
2010-03-05,6.72,88.31,22.27,281.05
2010-03-08,6.73,87.72,22.3,280.19
2010-03-09,6.85,87.13,22.43,279.05
2010-03-10,6.91,87.18,22.56,287.15
2010-03-11,6.93,88.55,22.73,289.48
2010-03-12,6.96,88.79,22.8,288.69
2010-03-15,6.87,88.71,22.81,280.54
2010-03-16,6.89,89.29,22.88,281.54
2010-03-17,6.88,88.66,23.08,281.72
2010-03-18,6.9,89.09,23.06,282.14
2010-03-19,6.83,88.63,23.05,278.95
2010-03-22,6.9,88.81,23.06,277.71
2010-03-23,7.01,89.78,23.27,273.47
2010-03-24,7.04,89.2,23.09,277.62
2010-03-25,6.96,89.69,23.37,280.39
2010-03-26,7.09,89.7,23.1,280.29
2010-03-29,7.14,89.24,23.05,280.17
2010-03-30,7.24,89.36,23.19,282.3
2010-03-31,7.22,89.0,22.81,282.5
2010-04-01,7.25,89.0,22.71,283.34
2010-04-05,7.32,89.76,22.8,284.44
2010-04-06,7.36,89.47,22.84,283.05
2010-04-07,7.39,89.16,22.86,280.72
2010-04-08,7.37,88.56,23.3,282.69
