Date,AAPL,IBM,MSFT,GOOG
2010-01-04,493729600,6155300,38409100,3927065
2010-01-05,601904800,6841400,49749600,6031925
2010-01-06,552160000,5605300,58182400,7987226
2010-01-07,477131200,5840600,50559700,12876685
2010-01-08,447610800,4197200,51197400,9484016
2010-01-11,462229600,5730400,68754700,14479871
2010-01-12,594459600,8081500,65912100,9742983
2010-01-13,605892000,6455400,51863500,13041902
2010-01-14,432894000,7111800,63228100,8511986
2010-01-15,594067600,8494400,79913200,10909740
2010-01-19,730007600,13916200,46575700,8665760
2010-01-20,612152800,15197500,54849500,6525769
2010-01-21,608154400,9608600,73086700,12662686
2010-01-22,881767600,10088600,102004600,13651779
2010-01-25,1065699600,5738500,63373000,8872934
2010-01-26,1867110000,7135300,66639900,8743651
2010-01-27,1722568400,8719200,63949500,7958519
2010-01-28,1173502400,9622200,117513700,6482407
2010-01-29,1245952400,11571200,193888500,8312039
2010-02-01,749876400,7242900,85931100,4518473
2010-02-02,698342400,5899900,54413700,8223107
2010-02-03,615328000,4177100,61397900,6020683
2010-02-04,757652000,9126900,77850000,6780721
2010-02-05,850306800,8617000,80960100,6335659
2010-02-08,478270800,5718500,52820600,5408798
2010-02-09,632886800,6044500,59195800,5660337
2010-02-10,370361600,5219100,48591300,5369049
2010-02-11,550345600,5089000,65993700,4838067
2010-02-12,655468800,8017700,81117200,4576490
2010-02-16,543737600,6777300,51935600,7336195
2010-02-17,436396800,5827400,45882900,4074616
2010-02-18,422825200,5525900,42856500,4691319
2010-02-19,415469600,6303100,44451800,5125339
2010-02-22,390563600,3808100,36707100,4305277
2010-02-23,575094800,4591900,52266200,5766734
2010-02-24,460566400,4782000,43165900,4670641
2010-02-25,665126000,5658700,48735300,6643207
2010-02-26,507460800,4784200,40370600,4113963
2010-03-01,550093600,4577700,43805400,4492576
2010-03-02,566546400,6013300,93123900,8746261
2010-03-03,372052800,6390000,48442100,6201960
2010-03-04,366041200,6032300,42890600,6391467
2010-03-05,899620400,6140200,56001800,7853728
2010-03-08,429889600,6199300,39414500,4790690
2010-03-09,920259200,7528800,50271600,6377013
2010-03-10,596218000,6916200,44891400,11352192
2010-03-11,405700400,7922200,35349700,8498335
2010-03-12,416323600,5169500,31700200,5527441
2010-03-15,493502800,4497700,37512000,9342688
2010-03-16,446908000,6134900,36723500,6888724
2010-03-17,450956800,6348400,50385700,6668100
2010-03-18,342109600,4954400,43845200,3567723
2010-03-19,559445600,10744300,81332100,9624340
2010-03-22,456419600,5651900,37718200,8039622
2010-03-23,602431200,5978500,42026600,11043840
2010-03-24,597780400,6669300,33987700,13179616
2010-03-25,542284400,7603200,73168700,7891268
2010-03-26,640875200,5550800,55595500,5412612
2010-03-29,540744400,4643000,33336000,6232273
2010-03-30,527310000,3426600,34954800,3970627
2010-03-31,430659600,4904800,63760000,6084320
2010-04-01,603145200,4980500,74768100,4221163
2010-04-05,684507600,4118700,34331200,3817255
2010-04-06,447017200,3926300,47366800,4135644
2010-04-07,628502000,5157000,58318800,5181348
2010-04-08,572989200,6006900,63713800,3909599
2010-04-09,334182800,5185100,54752500,4128617
2010-04-12,333026400,3992300,37068800,4722435
2010-04-13,306210800,6819100,41374600,7853929
2010-04-14,404076400,8545800,68941200,6830908
2010-04-15,376784800,6425300,52745400,13574290
2010-04-16,750545600,9546200,88703100,24562723
2010-04-19,566924400,11353700,64970300,7817191
2010-04-20,738326400,15216500,52199500,5977120
2010-04-21,982391200,7559200,55343100,4800928
2010-04-22,793424800,6018500,84847600,6585994
2010-04-23,796955600,6197300,126766600,4194463
2010-04-26,479068800,5285400,63649300,8770351
2010-04-27,709343600,10916700,68730900,7718222
2010-04-28,758402400,7122300,64557900,6837734
2010-04-29,558840800,5786900,52665200,6140731
2010-04-30,542463600,6266700,63214800,4889057
2010-05-03,454342000,4992100,43989500,3729527
2010-05-04,723819600,8285000,82085600,12198151
2010-05-05,883103200,6072800,66833800,9198750
2010-05-06,1285860800,13168800,128613000,10037683
2010-05-07,1676018400,10584800,173718100,10216150
2010-05-10,984306400,8463900,86653300,8286946
2010-05-11,848906800,6498900,63789400,6670108
2010-05-12,654379600,16626900,47146800,7732475
2010-05-13,599712400,10497800,45188800,6676532
2010-05-14,759362800,9920100,63334000,8262856
2010-05-17,762834800,8923400,46053300,5608544
2010-05-18,782678400,9330000,52690600,5672181
2010-05-19,1025726800,8669300,61746700,6917231
2010-05-20,1282915200,13176500,87991100,9863433
2010-05-21,1223891200,12639500,117596300,19454247
2010-05-24,754238800,6868600,73711700,8723777
2010-05-25,1048006400,9494800,98373600,6057420
2010-05-26,850654000,9083200,176684100,6977255
2010-05-27,666282400,7725900,136433600,5639258
2010-05-28,815614800,7421900,67496900,5811301
2010-06-01,876472800,7135400,76152400,5353592
2010-06-02,688548000,7705300,65718800,5100647
2010-06-03,650106800,6645300,67837000,7328767
2010-06-04,758304400,9669200,89832200,7869988
2010-06-07,886942000,6951400,80456200,7292633
2010-06-08,1000770400,8399200,87355000,5390329
2010-06-09,854630000,7795500,87794000,5478458
2010-06-10,776356000,7479700,78930900,5175125
2010-06-11,545759200,5820200,68057700,3576756
2010-06-14,602960400,6753000,50972400,4096096
2010-06-15,585074000,6652500,81641500,8551132
2010-06-16,783678000,6401000,48698000,4595762
2010-06-17,872855200,5571000,47995500,3969423
2010-06-18,784621600,9581400,52075600,5767337
2010-06-21,776490400,6857800,54625300,5989366
2010-06-22,717262000,6030200,55985400,4456040
2010-06-23,768457200,6855800,61466200,4073411
2010-06-24,714277200,5565500,85243400,3801395
2010-06-25,549942400,10420400,156256700,4507231
2010-06-28,584948000,6335100,73784800,3537811
2010-06-29,1133344800,9376200,119882100,7030453
2010-06-30,739452000,8018000,81050500,7233411
2010-07-01,1022896000,9742100,92239400,7053540
2010-07-02,693842800,6454500,62485100,3886513
2010-07-06,615235600,6348700,73592000,5139392
2010-07-07,654556000,7090300,79965300,6282862
2010-07-08,738144400,5439300,50758100,5357807
2010-07-09,433322400,3898000,53806100,8695471
2010-07-12,562878400,4206900,49854200,6693796
2010-07-13,1190924000,6687700,61928700,7982408
2010-07-14,812047600,6607200,72808100,6259374
2010-07-15,824866000,6186800,56934700,9752819
2010-07-16,1039858400,7002900,65064800,15708259
2010-07-19,1024478000,8388600,38181800,9134711
2010-07-20,1074950800,16337400,45530700,8139395
2010-07-21,1185671200,8615500,73297300,6583785
2010-07-22,645318800,6909000,73016400,4311500
2010-07-23,533388800,5078000,108520100,4545775
2010-07-26,420551600,5174900,67249900,4005357
2010-07-27,584771600,4648200,60672100,4920775
2010-07-28,519985200,4248800,69704800,5010711
2010-07-29,643806800,8994200,69446200,5371057
2010-07-30,448210000,6021000,83534800,4304273
2010-08-02,428055600,6437500,55044600,3731334
2010-08-03,417653600,5091800,56877700,3618111
2010-08-04,420375200,4567500,78531900,7653580
2010-08-05,289097200,4520600,64922100,4858945
2010-08-06,444897600,6136200,55982100,6663885
2010-08-09,303128000,6131700,57096500,3758435
2010-08-10,451920000,5471700,87257700,4163548
2010-08-11,620054400,6316100,76746900,4462665
2010-08-12,534920400,5132200,70240500,4425727
2010-08-13,354869200,4669400,45263500,3883903
2010-08-16,318430000,4009200,40909700,2619783
2010-08-17,422640400,4298300,52912600,3795574
2010-08-18,339696000,4883200,46818900,5392939
2010-08-19,426706000,5402400,54064600,7879424
2010-08-20,384230000,6246300,49560100,7864568
2010-08-23,414041600,4034400,51643000,5994786
2010-08-24,602565600,5621200,66522500,5546111
2010-08-25,596867600,5235300,47404800,5203632
2010-08-26,466505200,7746600,49105300,3567321
2010-08-27,548391200,6214200,60939400,4642135
2010-08-30,383289200,3604000,45453100,2472031
2010-08-31,420786800,5624200,66074600,3908194
2010-09-01,697037600,5623100,65235900,6480801
2010-09-02,415427600,5103300,48837100,3381026
2010-09-03,520788800,5142900,64189100,5099844
2010-09-07,342557600,4353300,51928700,3432618
2010-09-08,526551200,4477500,65512400,4821605
2010-09-09,438575200,3436700,46028900,4879421
2010-09-10,387542400,4418700,58284300,3963400
2010-09-13,388780000,5271300,114680400,4499803
2010-09-14,408150400,4850500,87160400,4449616
2010-09-15,429368800,4762500,56201900,4823613
2010-09-16,652103200,4685000,44548300,3953764
2010-09-17,634477200,10397400,70341600,11325492
2010-09-20,658677600,7145500,49838700,8840011
2010-09-21,668074400,5267900,52675700,8966082
2010-09-22,585289600,4922400,94299400,5093219
2010-09-23,786116800,3898800,46201800,4652172
2010-09-24,649488000,7122400,51948800,6738965
2010-09-27,482834800,6155400,43603300,6238095
2010-09-28,1035042400,7481300,56041200,7336797
2010-09-29,469644000,5151200,44318900,4360684
2010-09-30,673391600,6425800,61262700,6512519
2010-10-01,448142800,5621200,62672300,4466680
2010-10-04,435302000,4059900,98143400,3895547
2010-10-05,501967200,6202500,78152900,7040491
2010-10-06,670868800,4783000,50489700,5545308
2010-10-07,408399600,6440800,50096100,4809560
2010-10-08,658403200,4540800,41327800,5739834
2010-10-11,427753200,4004300,27587800,5272288
